candidate_count,case_id,expected_domain,fusion_seconds,ground_truth_used_in_inference,mean_matched_boundary_f1_at_025,mean_matched_iou_at_025,object_category,object_iou,object_precision,object_recall,oversegmentation_ratio,part_f1_at_025,part_f1_at_050,part_precision_at_025,part_precision_at_050,part_recall_at_025,part_recall_at_050,predicted_part_count,semantic_part_recall_at_025,variant
13,stool,furniture,0.07344710000324994,False,0.0,0.0,stool,0.0010350238723247972,0.001671339227949105,0.0027112121742172467,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,A2_consensus_hierarchy
13,stool,furniture,0.06954310002038255,False,0.0,0.0,stool,0.0010350238723247972,0.001671339227949105,0.0027112121742172467,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,A3_full_fusion
20,table,furniture,0.07696090004174039,False,0.0,0.0,table,0.3692623268054803,0.3814264012153194,0.9205016883743367,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A0_independent_max
20,table,furniture,0.07427929999539629,False,0.0,0.0,table,0.36016453451073627,0.37168003738608923,0.9207911239749156,0.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,A1_cross_source_consensus
20,table,furniture,0.09268519998295233,False,0.304289078388249,0.4232891798019409,table,0.3437604886889978,0.34518553469717905,0.9881331403762663,2.5,0.14285714285714288,0.0,0.1,0.0,0.25,0.0,10.0,0.25,A2_consensus_hierarchy
20,table,furniture,0.10727899998892099,False,0.5193624191638583,0.4975334703922272,table,0.34386542206702037,0.34530312226043564,0.98803666184274,3.5,0.11111111111111112,0.0,0.07142857142857142,0.0,0.25,0.0,14.0,0.25,A3_full_fusion
5,bottle,container,0.008773899986408651,False,0.35659391331079,0.5152245163917542,bottle,0.8667832677452266,1.0,0.8667832677452266,0.2857142857142857,0.22222222222222224,0.22222222222222224,0.5,0.5,0.14285714285714285,0.14285714285714285,2.0,0.0,A0_independent_max
5,bottle,container,0.010093700024299324,False,0.4774485049770851,0.5772852003574371,bottle,0.8749817863907912,0.9996670551023805,0.875236845940825,0.2857142857142857,0.4444444444444445,0.4444444444444445,1.0,1.0,0.2857142857142857,0.2857142857142857,2.0,0.0,A1_cross_source_consensus
5,bottle,container,0.01136679999763146,False,0.48281237752481293,0.6544508039951324,bottle,0.9177187636047018,0.9952785646836638,0.9217315260166157,0.2857142857142857,0.4444444444444445,0.4444444444444445,1.0,1.0,0.2857142857142857,0.2857142857142857,2.0,0.0,A2_consensus_hierarchy
5,bottle,container,0.010953099990729243,False,0.48281237752481293,0.6544508039951324,bottle,0.9177187636047018,0.9952785646836638,0.9217315260166157,0.2857142857142857,0.4444444444444445,0.4444444444444445,1.0,1.0,0.2857142857142857,0.2857142857142857,2.0,0.0,A3_full_fusion
10,jar,container,0.02529670001240447,False,0.7238391741597197,0.6979271769523621,jar,0.9382504288164666,0.9996027331956142,0.9386004177857356,0.4,0.28571428571428575,0.28571428571428575,0.5,0.5,0.2,0.2,2.0,0.2,A0_independent_max
10,jar,container,0.02280490001430735,False,0.6956011218762539,0.5685933629671732,jar,0.9510922239618281,0.9992950023499921,0.9517308266189197,0.6,0.7499999999999999,0.5,1.0,0.6666666666666666,0.6,0.4,3.0,0.6,A1_cross_source_consensus
10,jar,container,0.027151399990543723,False,0.9158423114732432,0.8637508153915405,jar,0.9654915960136844,0.9967751842751843,0.9685168606386153,0.8,0.6666666666666665,0.6666666666666665,0.75,0.75,0.6,0.6,4.0,0.6,A2_consensus_hierarchy
10,jar,container,0.028567400004249066,False,0.9158423114732432,0.8637508153915405,jar,0.9654915960136844,0.9967751842751843,0.9685168606386153,0.8,0.6666666666666665,0.6666666666666665,0.75,0.75,0.6,0.6,4.0,0.6,A3_full_fusion
7,can,container,0.023303199966903776,False,0.0,0.44093939661979675,can,0.9680639471610313,0.999689970547202,0.9683546679680168,0.16666666666666666,0.2857142857142857,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.16666666666666666,A0_independent_max
7,can,container,0.0226433000061661,False,0.0,0.44093939661979675,can,0.9680639471610313,0.999689970547202,0.9683546679680168,0.16666666666666666,0.2857142857142857,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.16666666666666666,A1_cross_source_consensus
7,can,container,0.03007939999224618,False,0.15946644940321772,0.4173497259616852,can,0.9790230746179203,0.9978238460657427,0.9811179098314501,0.6666666666666666,0.4,0.0,0.5,0.0,0.3333333333333333,0.0,4.0,0.0,A2_consensus_hierarchy
