case_count,ci95_high,ci95_low,comparison,mean_paired_difference,metric
65,0.11340750915750913,0.04240257819103972,A3_full_fusion_minus_A2_consensus_hierarchy,0.07660467737390814,part_recall_at_025
65,0.0705720576375295,0.02174349762121994,A3_full_fusion_minus_A2_consensus_hierarchy,0.04491737065784252,part_f1_at_025
65,0.036610010075394696,-0.0012600718725718752,A3_full_fusion_minus_A2_consensus_hierarchy,0.017031699070160607,part_precision_at_050
65,0.0567032967032967,0.005311355311355312,A3_full_fusion_minus_A2_consensus_hierarchy,0.02913919413919414,part_recall_at_050
65,0.042164748070374194,-3.0338519449270806e-06,A3_full_fusion_minus_A2_consensus_hierarchy,0.020019907497221472,part_f1_at_050
65,0.014046721068903414,-0.01702617566191997,A3_full_fusion_minus_A2_consensus_hierarchy,-0.000867467751869789,mean_matched_iou_at_025
65,0.029465272913809556,-0.015504838711448764,A3_full_fusion_minus_A2_consensus_hierarchy,0.0066712611282498365,mean_matched_boundary_f1_at_025
65,0.04747252747252747,-0.015645674837982525,A3_full_fusion_minus_A2_consensus_hierarchy,0.015066215835446605,semantic_part_recall_at_025
65,0.2735185967878275,0.06665870667793744,A3_full_fusion_minus_A2_consensus_hierarchy,0.15991969568892644,oversegmentation_ratio
65,1.0615384615384615,0.3230769230769231,A3_full_fusion_minus_A2_consensus_hierarchy,0.6615384615384615,predicted_part_count
65,0.009207439074189796,0.002739637733611744,A3_full_fusion_minus_A2_consensus_hierarchy,0.005692841537977354,fusion_seconds
